"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:12:59 GMT 2024","Mon Nov 25 20:12:59 GMT 2024","164","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithEmptyFieldsTest","User should not be able to create a project with empty fields",""
"passed","Mon Nov 25 20:12:55 GMT 2024","Mon Nov 25 20:12:57 GMT 2024","2595","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 20:12:55 GMT 2024","Mon Nov 25 20:12:55 GMT 2024","7","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able create build type for not their project",""
"passed","Mon Nov 25 20:12:55 GMT 2024","Mon Nov 25 20:12:55 GMT 2024","0","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able create build type for their project",""
"passed","Mon Nov 25 20:11:48 GMT 2024","Mon Nov 25 20:12:38 GMT 2024","49857","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:12:59 GMT 2024","Mon Nov 25 20:12:59 GMT 2024","262","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectTest","User should be able to create a project",""
"passed","Mon Nov 25 20:12:59 GMT 2024","Mon Nov 25 20:13:00 GMT 2024","223","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithEmptyIdTest","User should not be able to create a project with empty ID",""
"passed","Mon Nov 25 20:13:01 GMT 2024","Mon Nov 25 20:13:01 GMT 2024","300","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesTwoProjectsWithSameNameTest","User should not be able to create a project with the same name",""
"passed","Mon Nov 25 20:13:00 GMT 2024","Mon Nov 25 20:13:00 GMT 2024","179","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithTooLongIdTest","User should not be able to create a project with too long ID",""
"passed","Mon Nov 25 20:13:00 GMT 2024","Mon Nov 25 20:13:00 GMT 2024","193","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithInvalidIdTest","User should not be able to create a project with invalid ID",""
"passed","Mon Nov 25 20:13:00 GMT 2024","Mon Nov 25 20:13:00 GMT 2024","326","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create a project with the same ID",""
"passed","Mon Nov 25 20:12:58 GMT 2024","Mon Nov 25 20:12:58 GMT 2024","577","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
